"","Data.set","Source","Predation.Parasitism","Dim","Field","Habitat","Fresh_Marine","Predator_Cellularity","Pred_Vert.Invert","Pred_Major_Grouping_1","Pred_Major_Grouping_2","Predator_Scientific_Name","Predator_Type","Trophic_Level_Predator","Prey_Cellularity","Prey_Vert.Invert","Prey_Major_Group_1","Prey_Major_Group_2","Prey","Prey_scientific_name","Prey_type","Trophic_Level_prey","Data_type","Prey_Replaced","Hours_starved","Temp_C","Interference","Pred_per_arena","X2D_Arena_Size_cm2","X3D_arena_size_cm3","Pred_mass_mg","Pred_Mass_Source","Pred_Mass_ID","Prey_mass_mg","Prey_Mass_Source","Prey_Mass_ID","Units_a","R2_Mean","Fitted_a","CI_a_low","CI_a_hi","Fitted_h_day","CI_h_low","CI_h_hi","Notes.1","Include_Biotic_Prey","PreyAbundanceGroup","Mass_g","PredMass_g","PreyAbundance_10","PreyAbundance_20","PreyAbundance_30","PreyAbundance_40","PreyAbundance_50","PreyAbundance_60","PreyAbundance_70","PreyAbundance_80","PreyAbundance_90","frac_10","frac_20","frac_30","frac_40","frac_50","frac_60","frac_70","frac_80","frac_90"
"1",1,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Baetidae","Mayfly","Baetis tricaudatus","Larva",NA,"Mean","N","24",NA,"","1",1900,"",68.8,"Original length","2",4.96,"Alternate species length","2","m^2.5 per pred per day","143.68",0.0313,0.0143,0.1,0.0265,0.0175,0.0377,"",1,"Ectotherm",0.00496,0.0688,3.05388303350713,9.10931254675291,20.8509184646018,39.9390984925565,80.4140203337974,160.590228366311,315.097712197223,725.140900608852,2336.0346878865,0.00252664318559484,0.00749905851084271,0.0170007695085244,0.0320652443360426,0.0625287767038566,0.117544459028367,0.207203537271065,0.375572958646378,0.659588834521834
"2",2,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Ephemerellidae","Mayfly","Ephemerella subvaria","Larva",NA,"Mean","N","24",NA,"","1",1900,"",68.8,"Original length","2",6.66,"Alternate species length","2","m^2.5 per pred per day","129.24",0.00578,0.00145,0.0355,0.0985,3.77e-07,0.175,"",1,"Ectotherm",0.00666,0.0688,2.27432523225472,7.1169095637634,16.9102020999957,35.4685973644982,66.95497320941,125.895840654739,257.729272900249,573.389655105807,1672.20819032101,0.00129316713789375,0.00403551872419235,0.00953568073490248,0.0197936369649939,0.0367197377749647,0.0668823975739413,0.127957428671047,0.246106857556902,0.487714966638994
"3",5,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","1st instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data","N","12",26," ","1",19.6,"",0.00461,"Alternate species length","4",0.00942,"% adult mass","3","m^2 per pred per day","85.84",0.00854,0.00579,0.011,0.0246,0.0169,0.0302,"",1,"Ectotherm",9.42e-06,4.61e-06,371.249088768806,1156.83036672711,2436.48085155998,4941.58671347641,9451.29676033709,19687.9331012913,38529.0261649464,83549.9077289128,265381.367620174,0.0723506162425737,0.195515190756198,0.338565563358686,0.509358569014751,0.665055160920221,0.805300489264447,0.8900414007994,0.946098905061016,0.982379593358419
"4",6,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","2nd instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data","N","12",26,"","1",19.6,"",2.49,"% adult mass","5",0.00942,"% adult mass","3","m^2 per pred per day","137.28",0.0119,0.0102,0.0138,0.00746,0.00667,0.00831,"",1,"Ectotherm",9.42e-06,0.00249,394.839971067481,1100.41936068086,2385.9746267727,4775.82499119909,9429.44442325129,17172.3100253746,34503.0633146129,75396.9808315879,248087.313910477,0.0338645205505506,0.0889948440790007,0.17478983712748,0.297737564256431,0.455660706558228,0.603874840879512,0.753874928074853,0.870016625513718,0.956566500571507
"5",9,"Enkegaard et al 2001 ENTO EXP APPL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Macrolophus caliginosus","Adult female",3,"Metazoan","Invertebrate","Insect","Hemiptera","Greenhouse whitefly","Trialeurodes vaporariorum","1st instar",2,"Mean","N","23",22,"","1",58.2,"",2.24,"Alternate species length","1",0.000412,"Alternate species length","3","m^2 per pred per day","876.61",0.00238,0.00199,0.0031,0.00073,9.59e-10,0.01,"",1,"Ectotherm",4.12e-07,0.00224,4052.18571803798,11602.8990442884,29194.5045332565,57961.8853248111,114315.096922667,216659.848856315,430179.738995589,903229.319470181,2387523.12765803,0.00699104861440235,0.0197605267747993,0.0482739549432065,0.0914896947069934,0.165700999914818,0.273480117148192,0.427719311957049,0.610784480096067,0.80575292555075
"6",10,"Sepulveda and Carrillo 2008 REV BIO TROP","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Chileseius camposi","Adult",3,"Metazoan","Invertebrate","Arachnid","Mite","European red mite","Panonychus ulmi","Adult female",2,"Mean","N","24",20,"","1",3.14,"",0.0613,"Alternate order mass","1",0.0253,"Alternate species length","1","m^2 per pred per day","336.36",0.000116,6.46e-05,0.000184,0.165,0.0892,0.251,"",1,"Ectotherm",2.53e-05,6.13e-05,180.340791962715,555.699992220857,1188.14420349582,2249.56781471468,4515.47978858691,8755.47278143702,16806.9093805559,39466.5103806153,128572.297500706,0.00343984935187384,0.0105241618360184,0.022235422531076,0.041279373229571,0.0795509870238828,0.143527454270223,0.243389634573025,0.430325702706128,0.71105562778241
"7",14,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult male",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0666,"Alternate species length","1","m^2 per pred per day","44.49",0.00326,0.0025,0.00435,0.0734,0.0491,0.0975,"24 hr trial",1,"Ectotherm",6.66e-05,6.66e-05,86.1505850270008,256.539252219604,564.746752640705,1141.49040824357,2063.74065889697,3913.67839489459,7527.20788957125,17484.7253301838,52432.7820059482,0.0201980840605813,0.0578354656611708,0.119047407041732,0.214540668735378,0.330575357280532,0.483599273272923,0.643002544433461,0.807091881764439,0.926179244906551
"8",15,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","-18.14",0.000987,0.000632,0.00165,0.173,0.0398,0.299,"24 hr trial",1,"Ectotherm",7.03e-05,6.66e-05,78.7840711934268,239.526229370087,526.952000359062,1034.96389994098,2063.72691650943,3919.57484380966,7886.1089852361,16744.0021794423,51490.2918831985,0.0132738924472239,0.0392923133814103,0.0825499373387676,0.150180971296614,0.260564737539561,0.400936213586486,0.573844446410421,0.740869210233063,0.897876013370924
"9",19,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult male",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0666,"Alternate species length","1","m^2 per pred per day","-122.76",0.000777,0.000648,0.000957,0.163,0.0911,0.229,"48 hr trial",1,"Ectotherm",6.66e-05,6.66e-05,78.991044724148,256.751193500516,616.70274068367,1180.07417252486,2119.4837360556,3975.97738087358,8027.64247703576,18246.6906911883,55302.0641611531,0.00990520026183258,0.0314936900387111,0.0724474378656342,0.13002443709268,0.211626761173606,0.334912477801689,0.50414262736845,0.697972941415262,0.875063432295567
"10",20,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","-165.57",3e-04,2e-04,0.000459,0.465,1.3e-06,0.835,"48 hr trial",1,"Ectotherm",7.03e-05,6.66e-05,77.2047102957912,243.258873411468,572.489909189737,1125.94435160176,2149.53940175935,4057.7339089878,7954.00074807118,17433.8964528916,55226.8950711198,0.0106552989087445,0.0328208500029408,0.0739560397666106,0.135747483399621,0.230686823448091,0.361452365990109,0.525972691981098,0.70862713292663,0.885112298612649
"11",21,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",20,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","-6.93",0.00108,0.000737,0.00165,0.14,1.47e-07,0.255,"",1,"Ectotherm",7.03e-05,6.66e-05,86.9211521195474,265.067034420917,578.162933210918,1126.92460667552,2105.14987053039,4055.03750379834,8009.97546412948,17105.4249985105,52444.5009725802,0.0129719940514378,0.0385337737930152,0.0803906285985499,0.145584681061521,0.241446547720662,0.380083958797741,0.547738116471794,0.721164215449318,0.888013008103261
"12",22,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",25,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","6",0.00153,0.000935,0.00268,0.122,0.033,0.201,"",1,"Ectotherm",7.03e-05,6.66e-05,79.1297925195266,256.421824328323,561.91429322028,1124.39131658025,2178.91839608087,3905.75441785519,8152.32435349738,18371.8287381906,55318.9536792369,0.0145553787841849,0.0456774080759287,0.0949300058554846,0.173470986290742,0.289124916003838,0.421647096663782,0.603444145308581,0.774229954650959,0.911706296172772
"13",23,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",30,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","7.99",0.00239,0.00177,0.00346,0.127,0.0822,0.171,"",1,"Ectotherm",7.03e-05,6.66e-05,86.7618213054955,275.806481285537,605.125104905473,1198.94296284011,2220.39981676132,4245.18355631648,8231.37890708171,19194.1527660923,55627.350452696,0.0256590882624657,0.0772486303619033,0.155172523496951,0.266816565170376,0.402613431127263,0.563040299411912,0.714160797626941,0.85350134400826,0.944085878624424
"14",24,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",35,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","22.27",0.00214,0.0015,0.00342,0.105,0.0496,0.168,"",1,"Ectotherm",7.03e-05,6.66e-05,81.3821039528356,268.675675528814,580.736532572271,1127.74734833701,2139.45998321597,3972.34665109643,7896.95466261035,17144.6472231106,50399.9465184679,0.0179581657058329,0.0569342240919708,0.115428996148614,0.20217317124816,0.324660469204377,0.471622507273719,0.639567645736719,0.793916507249827,0.918863228279306
"15",29,"Rocha and Redaelli 2004 BRAZ J BIOL","Predator",2.5,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Cosmoclopius nigroannulatus","Adult female (newly emerged)",3,"Metazoan","Invertebrate","Insect","Hemiptera","","Spartocera dentiventris","1st instar",2,"Raw data","N","",27,"","1",133,"1.19E+03",401,"Alternate family length","2",2.37,"% adult mass","2","m^2.5 per pred per day","86.87",0.0053,0.00384,0.0077,0.0694,0.0481,0.0872,"",1,"Ectotherm",0.00237,0.401,5.77587785755029,17.3342589704134,38.7166872898585,81.3544274117808,147.441361245258,269.320578129945,527.279734366302,1135.66663961581,3464.00563346245,0.00211997953225318,0.0063354927477961,0.0140408198065357,0.0290543687913248,0.0514420806705409,0.0901328046648127,0.162439801794438,0.294642550862139,0.560271507246362
"16",30,"Rocha and Redaelli 2004 BRAZ J BIOL","Predator",2.5,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Cosmoclopius nigroannulatus","Adult male (newly emerged)",3,"Metazoan","Invertebrate","Insect","Hemiptera","","Spartocera dentiventris","1st instar",2,"Raw data","N","",27,"","1",133,"1.19E+03",401,"Alternate family length","1",2.37,"% adult mass","2","m^2.5 per pred per day","46.73",0.00268,0.00141,0.00539,0.0992,0.034,0.157,"",1,"Ectotherm",0.00237,0.401,6.19319712850856,18.2488164135171,39.0629642896791,74.352708297293,134.985960035543,258.396018315792,513.151695940619,1131.15346346223,3484.619230433,0.00164379211435583,0.00482813337055681,0.0102783811769704,0.0193839488968925,0.0346435792427123,0.064280322346393,0.120047097193771,0.231197356370695,0.480898877406657
"17",34,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",5,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","25.82",9.72e-05,3.42e-05,0.000514,0.3,0.197,0.37,"",1,"Ectotherm",0.000592,0.0547,14.8834713214596,46.4116113477579,102.451648309588,204.015443974741,413.60000838717,801.15092527304,1630.58061657526,3568.28677953931,9840.46464580903,0.000433813747689341,0.00135153347206458,0.00297859155203903,0.00591390797346954,0.0119168521407313,0.0228282572569642,0.0453895601911724,0.0942449394437232,0.222967797010557
"18",35,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",8,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","35.52",5.1e-05,3.96e-05,6.65e-05,0.0542,0.0428,0.0657,"",1,"Ectotherm",0.000592,0.0547,14.4248264329786,44.7153855774905,99.3940657142182,190.71970036714,391.085316311029,741.20835181492,1538.93021063997,3308.46031822802,10192.4782577416,3.98715154249094e-05,0.000123586993180546,0.000274669612323606,0.000526909615646777,0.00107987065010525,0.00204465893046863,0.00423589178207776,0.00906236842296967,0.0274020224920977
"19",36,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",12,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","67.43",8.25e-05,6.15e-05,0.000106,0.0448,0.0363,0.0532,"",1,"Ectotherm",0.000592,0.0547,14.6803367022204,45.5047795341914,99.3598042910331,204.646633802728,395.917313303771,814.805281504699,1589.58477584808,3513.27380080644,11277.3859433569,5.42555806236586e-05,0.000168157383496977,0.000367099025476099,0.000755802289365405,0.00146117224144829,0.00300247829604116,0.0058407900746267,0.0128186095540181,0.0400134107330858
"20",37,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",16,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","80.59",0.000128,0.000109,0.000144,0.0236,0.021,0.0261,"",1,"Ectotherm",0.000592,0.0547,15.1001627586752,49.0203481955852,106.915423832032,218.070087941747,411.82905016687,775.265131534425,1553.4249877314,3669.89236554953,11424.0308182251,4.56124910671635e-05,0.000148058743191654,0.000322865836296391,0.000658312460873993,0.00124250744938218,0.00233644913026741,0.00467066868749755,0.0109644587491089,0.0333585193889706
"21",38,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",20,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","71.96",0.000147,0.000126,0.000172,0.0265,0.0241,0.0287,"",1,"Ectotherm",0.000592,0.0547,17.1327096675275,46.7422411279374,106.246471275877,208.000435874825,387.183184815078,763.919992030599,1498.61253097301,3289.15479614114,10564.4239051526,6.67360165167112e-05,0.000182051251620902,0.000413711900479365,0.000809609698982569,0.00150600063770805,0.00296702091877803,0.005803962480395,0.012650808926935,0.0395270292906055
"22",39,"Thompson 1978 J ANIM ECOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Odonata","Ischnura elegans","larva",3,"Metazoan","Invertebrate","Crustacean","Cladoceran","","Daphnia","",2,"Mean","N","48",27,"","1",NA,"7.50E+01",54.7,"Average species mass","8",0.592,"Average genus mass","8","m^3 per pred per day","70.11",0.000132,0.000112,0.000152,0.0221,0.0196,0.0246,"",1,"Ectotherm",0.000592,0.0547,17.0169745908089,54.2449543530941,111.763174558712,220.246882231489,412.590249001577,736.425611487909,1533.78703599578,3469.6316137756,10665.7449345445,4.96394540785851e-05,0.000158218343833207,0.000325929268300023,0.000642091658255373,0.00120216134304776,0.00214369549110725,0.00445443278973487,0.010020188906049,0.0301752354927669
"23",43,"Tellez et al 2009 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Diptera","Coenosia attenuata","Adult female",3,"Metazoan","Invertebrate","Insect","Diptera","Sciarid fly","Bradysia sp.","Adult",2,"Mean","N","24",25,"","1",50.3,"",1.57,"Alternate genus length","2",1.3,"Original length","1","m^2 per pred per day","143.67",0.00511,0.00423,0.00623,0.0915,0.0832,0.102,"",1,"Ectotherm",0.0013,0.00157,9.27719967895827,26.6595877047366,59.8961904776028,121.195969969534,231.614627568664,446.244881778865,853.554568223769,1961.3065545911,5627.9998083247,0.00431895954356433,0.012311624614755,0.0272424282281804,0.0536280531489354,0.0977130671538731,0.172629586016761,0.285250843224627,0.478362012684529,0.724628337987328
"24",44,"Tellez et al 2009 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Diptera","Coenosia attenuata","Adult female",3,"Metazoan","Invertebrate","Insect","Diptera","American serptentine leafminer","Liriomyza trifolii","Adult",2,"Mean","N","24",25,"","1",50.3,"",1.57,"Alternate genus length","2",0.539,"Original length","1","m^2 per pred per day","183.12",0.0236,0.0175,0.0387,0.16,0.149,0.169,"",1,"Ectotherm",0.000539,0.00157,17.551784024731,57.2555613094414,124.949045654929,253.987412819576,487.717788250732,931.160391553144,1842.86999053185,3846.4709107568,13025.0355673788,0.0621561071318735,0.177764786126377,0.320563365448908,0.489550191685791,0.648088355754736,0.778568124165127,0.874350977001041,0.935584750065811,0.980072748140348
"25",45,"Tellez et al 2009 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Diptera","Coenosia attenuata","Adult female",3,"Metazoan","Invertebrate","Insect","Hemiptera","Tobacco whitefly","Bemisia tabaci","Adult",2,"Mean","N","24",25,"","1",50.3,"",1.57,"Alternate genus length","2",0.0279,"Alternate species length","2","m^2 per pred per day","293.9",0.00262,0.00235,0.00296,0.0236,0.018,0.0319,"",1,"Ectotherm",2.79e-05,0.00157,162.848887430143,501.96774290072,1081.66290435419,2086.44066829341,3917.418072417,7548.33952201162,14594.7830981964,34135.5886092838,105355.263537389,0.00996889290927509,0.0301033322038758,0.0626886755283134,0.114267310821899,0.194990778115604,0.318210761370751,0.474354996773819,0.678526025355392,0.866920877158199
"26",46,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","1st instar",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",2.21,"% adult mass","3",0.137,"Alternate species length","2","m^2 per pred per day","-19.83",0.00322,0.000592,0.0506,1.02,0.56,1.42,"",1,"Ectotherm",0.000137,0.00221,41.7811854776484,149.186572039657,322.054663567319,654.755224158842,1257.80549731015,2507.73567751291,5061.27370548896,11060.4391395141,32633.8250715578,0.120667405097174,0.328853825105348,0.514033813426163,0.682587854440517,0.805111396999505,0.891732792460526,0.943256768762961,0.973209673694899,0.990756363775364
"27",47,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","2nd instar",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",73.2,"% adult mass","4",0.137,"Alternate species length","2","m^2 per pred per day","55.37",0.00514,0.00109,0.0594,0.468,0.247,0.67,"",1,"Ectotherm",0.000137,0.0732,54.1035756660259,154.757049637313,356.539797039964,706.703795385348,1429.35621508823,2691.54263622945,5293.98358933127,12032.0983026358,35310.0613937516,0.115159538064744,0.27128105872944,0.461689407473756,0.629628273503315,0.774690789371983,0.866212854287703,0.927192153629249,0.966603718136273,0.988363847440417
"28",48,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","3rd instar",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",93.1,"% adult mass","5",0.137,"Alternate species length","2","m^2 per pred per day","90.13",0.00128,0.000825,0.00277,0.0735,2.57e-08,0.182,"",1,"Ectotherm",0.000137,0.0931,45.7710344282893,145.822428888331,322.815495053866,644.875071679498,1183.56619330618,2360.77613619985,4734.73354700082,10879.282442142,33979.2382362329,0.00428767559227346,0.0135333109670374,0.029475302633242,0.0571995583073012,0.100193383486314,0.181737573301986,0.308170925100012,0.505812361265568,0.761721328928361
"29",49,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","4th instar",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",328,"% adult mass","6",0.137,"Alternate species length","2","m^2 per pred per day","61.73",0.00221,0.000908,0.00447,0.209,0.0869,0.3,"",1,"Ectotherm",0.000137,0.328,56.6756009086373,158.139897092098,359.106310329977,724.306874878807,1411.20542288692,2684.12106787508,5290.55027281435,11659.9822554809,36190.2199740045,0.0255100928157915,0.0680711033298736,0.142269681164743,0.25068380859337,0.394607773659561,0.553525322096309,0.709610633449996,0.8433983609045,0.943553533251295
"30",50,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","5th instar",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",NA,"","",0.137,"Alternate species length","2","m^2 per pred per day","104.14",0.001,0.000706,0.00332,0.0191,3.92e-09,0.248,"",1,"Ectotherm",0.000137,NA,45.9732438352449,144.783345236654,320.565749510644,677.450712201565,1278.8979968281,2391.5769767512,4650.04477385728,10494.1542548072,34823.085808878,0.000877318593484245,0.00275773575664489,0.00608554520408629,0.0127740215955234,0.0238445032102496,0.043683687826498,0.0815710524034722,0.166970962640564,0.399443021459544
"31",51,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","Adult male",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",401,"Alternate family length","1",0.137,"Alternate species length","2","m^2 per pred per day","-26.1",0.00104,0.000443,0.00235,0.33,0.0667,0.503,"",1,"Ectotherm",0.000137,0.401,51.7277067993853,157.918070756469,353.622183169261,719.645148949913,1349.40724496764,2567.98568434427,5217.19830448491,11829.7482285468,37171.6452859052,0.0174432793257477,0.051411128194673,0.108228217660828,0.198063943595154,0.316527457268371,0.46846190098077,0.641646735351538,0.802370353850807,0.927311364122166
"32",52,"Sahayaraj et al 2015 EUR J ENTOMOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Rhynocoris kumarii","Adult female",3,"Metazoan","Invertebrate","Insect","Hemiptera","Cotton mealy bug","Phenacoccus solenopsis","3rd instar",2,"Mean","N","12",28,"","1",16,"",401,"Alternate family length","2",0.137,"Alternate species length","2","m^2 per pred per day","-74.27",0.00191,0.0011,0.00361,0.759,0.634,0.913,"",1,"Ectotherm",0.000137,0.401,56.0679181689553,158.687268636515,353.749342603427,688.225035725781,1251.75925261594,2307.42634846412,4895.98101195138,10826.4956394599,32350.5038493476,0.0751711097775839,0.18702316388871,0.338985834889796,0.499427583438262,0.644717663941247,0.769853204943626,0.876507453649765,0.940102050999679,0.979122389571987
"33",56,"Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL","Parasitoid",2.5,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hymenoptera","Apanteles myeloenta","Adult (1d old, mated, naïve)",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Locust bean moth","Ectomyelois ceratoniae","1st instar",2,"Raw data","N","",25,"","1",38.5,"7.70E+02",15.6,"Alternate family length","1",0.853,"% adult mass","1","m^2.5 per pred per day","139.37",0.0583,0.0497,0.0683,0.0145,0.00966,0.0184,"",1,"Ectotherm",0.000853,0.0156,13.4502534295591,39.6855089558221,86.9502390404752,176.491631736391,350.572112572723,657.19364682129,1231.95568176918,2827.39721076086,8737.78081698046,0.0112423443506876,0.0324591990786655,0.0684705662126178,0.12982732708801,0.2286070372786,0.357144135694246,0.510148195080094,0.705026951237462,0.8807605049251
