Data.set,Source,Predation.Parasitism,Dim,Field,Habitat,Fresh_Marine,Predator_Cellularity,Pred_Vert.Invert,Pred_Major_Grouping_1,Pred_Major_Grouping_2,Predator_Scientific_Name,Predator_Type,Trophic_Level_Predator,Prey_Cellularity,Prey_Vert.Invert,Prey_Major_Group_1,Prey_Major_Group_2,Prey,Prey_scientific_name,Prey_type,Trophic_Level_prey,Data_type,Prey_Replaced,Hours_starved,Temp_C,Interference,Pred_per_arena,X2D_Arena_Size_cm2,X3D_arena_size_cm3,Pred_mass_mg,Pred_Mass_Source,Pred_Mass_ID,Prey_mass_mg,Prey_Mass_Source,Prey_Mass_ID,Units_a,R2_Mean,Fitted_a,CI_a_low,CI_a_hi,Fitted_h_day,CI_h_low,CI_h_hi,Notes.1,Include_Biotic_Prey
12,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,43.38,2.50E-03,2.15E-03,2.86E-03,2.27E-02,7.66E-03,3.61E-02,24 hr trial,1
13,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,45.44,2.82E-03,2.27E-03,3.67E-03,3.84E-02,1.72E-02,5.83E-02,24 hr trial,1
14,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,44.49,3.26E-03,2.50E-03,4.35E-03,7.34E-02,4.91E-02,9.75E-02,24 hr trial,1
15,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,-18.14,9.87E-04,6.32E-04,1.65E-03,1.73E-01,3.98E-02,2.99E-01,24 hr trial,1
16,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,-30.21,2.18E-03,1.82E-03,2.68E-03,1.16E-01,8.59E-02,1.45E-01,48 hr trial,0
17,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,-35.83,1.18E-03,9.73E-04,1.46E-03,5.38E-02,1.55E-03,9.96E-02,48 hr trial,1
18,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,-77.72,1.19E-03,9.82E-04,1.45E-03,1.46E-01,9.10E-02,1.98E-01,48 hr trial,1
19,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,-122.76,7.77E-04,6.48E-04,9.57E-04,1.63E-01,9.11E-02,2.29E-01,48 hr trial,1
20,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,-165.57,3.00E-04,2.00E-04,4.59E-04,4.65E-01,1.30E-06,8.35E-01,48 hr trial,1
21,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,20,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,-6.93,1.08E-03,7.37E-04,1.65E-03,1.40E-01,1.47E-07,2.55E-01,,1
