Data.set,Source,Predation.Parasitism,Dim,Field,Habitat,Fresh_Marine,Predator_Cellularity,Pred_Vert.Invert,Pred_Major_Grouping_1,Pred_Major_Grouping_2,Predator_Scientific_Name,Predator_Type,Trophic_Level_Predator,Prey_Cellularity,Prey_Vert.Invert,Prey_Major_Group_1,Prey_Major_Group_2,Prey,Prey_scientific_name,Prey_type,Trophic_Level_prey,Data_type,Prey_Replaced,Hours_starved,Temp_C,Interference,Pred_per_arena,X2D_Arena_Size_cm2,X3D_arena_size_cm3,Pred_mass_mg,Pred_Mass_Source,Pred_Mass_ID,Prey_mass_mg,Prey_Mass_Source,Prey_Mass_ID,Units_a,R2_Mean,Fitted_a,CI_a_low,CI_a_hi,Fitted_h_day,CI_h_low,CI_h_hi,Notes.1,Include_Biotic_Prey
398,Sandness & McMurtry 1970 CAN ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus floridanus,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Avocado brown mite,Oligonychus punicae,Adult female,2,Mean,N,,23,,1,1.21E+01,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,59.89,6.06E-04,3.69E-04,9.72E-04,1.80E-01,1.31E-01,2.24E-01,Dark green construction paper,1
399,Beier et al 2004 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Dugesia gonocephala,Wild caught,,Metazoan,Invertebrate,Nematode,,Roundworm,Caenorhabditis elegans,Adult,,Raw data,N,72,20,,1,,4.00E+01,2.52E+01,Original length,2,2.60E-04,Alternate species mass,4,m^3 per pred per day,264.88,1.57E-04,1.18E-04,2.21E-04,1.52E-03,9.21E-04,2.07E-03,,1
400,Beier et al 2004 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Dugesia gonocephala,Wild caught,,Metazoan,Invertebrate,Nematode,,Roundworm,Caenorhabditis elegans,Juvenile,,Raw data,N,72,20,,1,,4.00E+01,2.52E+01,Original length,2,5.20E-05,Alternate species mass,3,m^3 per pred per day,394.77,1.86E-04,1.19E-04,2.58E-04,7.54E-04,4.61E-04,1.07E-03,,1
401,Titelman & Hansson 2006 MAR BIOL,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Wild caught,,Metazoan,Vertebrate,Fish,Gadidae,Atlantic cod,Gadus morhua,Yolk sac larva,,Mean,N,,8,,1,,2.70E+04,1.39E+04,Original length,1,6.94E-01,Original length,6,m^3 per pred per day,233.46,2.87E-01,1.48E-01,8.29E-01,1.70E-04,4.64E-12,8.65E-04,,1
402,Bailey 1989 AUS J ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Ranatra dispar,Adult,,Metazoan,Invertebrate,Insect,Heteroptera,Backswimmer,Anisops deanei,,,Mean,N,24,15,,1,,,3.61E+01,Alternate genus mass,1,9.44E+00,Alternate genus length,2,m^3 per pred per day,31.45,6.77E-04,4.19E-04,9.94E-04,9.19E-02,5.88E-02,1.15E-01,,1
403,Bailey 1989 AUS J ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Ranatra dispar,Adult,,Metazoan,Invertebrate,Insect,Heteroptera,Backswimmer,Anisops deanei,,,Mean,N,24,20,,1,,,3.61E+01,Alternate genus mass,1,9.44E+00,Alternate genus length,2,m^3 per pred per day,59.05,6.39E-04,4.88E-04,8.67E-04,2.65E-02,1.38E-02,3.83E-02,,1
404,Bailey 1989 AUS J ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Ranatra dispar,Adult,,Metazoan,Invertebrate,Insect,Heteroptera,Backswimmer,Anisops deanei,,,Mean,N,24,25,,1,,,3.61E+01,Alternate genus mass,1,9.44E+00,Alternate genus length,2,m^3 per pred per day,60.33,1.15E-03,9.39E-04,1.46E-03,3.14E-02,2.35E-02,3.83E-02,,1
405,Bailey 1989 AUS J ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Ranatra dispar,Adult,,Metazoan,Invertebrate,Insect,Heteroptera,Backswimmer,Anisops deanei,,,Mean,N,24,30,,1,,,3.61E+01,Alternate genus mass,1,9.44E+00,Alternate genus length,2,m^3 per pred per day,44.48,1.12E-03,9.37E-04,1.33E-03,2.12E-02,1.54E-02,2.69E-02,,1
406,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small,2,Mean,N,0,20,,1,,5.00E+02,1.92E-01,% adult mass,2,7.64E-02,Original length,21,m^3 per pred per day,192.78,9.75E-04,6.06E-04,1.78E-03,3.01E-03,4.99E-10,7.51E-03,,1
407,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small medium,2,Mean,N,0,20,,1,,5.00E+02,1.92E-01,% adult mass,2,2.47E-01,Original length,20,m^3 per pred per day,225.54,2.42E-03,1.60E-03,4.15E-03,5.30E-03,3.96E-03,7.13E-03,,1
408,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large medium,2,Mean,N,0,20,,1,,5.00E+02,1.92E-01,% adult mass,2,9.21E-01,Original length,19,m^3 per pred per day,262,1.25E-03,3.18E-04,4.64E-03,7.09E-03,4.18E-10,1.76E-02,,1
409,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large,2,Mean,N,0,20,,1,,5.00E+02,1.92E-01,% adult mass,2,1.70E+00,Original length,18,m^3 per pred per day,211.93,8.23E-04,2.38E-04,4.88E-03,1.34E-02,1.25E-09,2.79E-02,,1
410,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small,2,Mean,N,0,20,,1,,5.00E+02,6.36E+00,% adult mass,3,7.64E-02,Original length,21,m^3 per pred per day,217.09,3.28E-03,1.15E-03,7.98E-03,5.31E-03,1.87E-03,1.03E-02,,1
411,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small medium,2,Mean,N,0,20,,1,,5.00E+02,6.36E+00,% adult mass,3,2.47E-01,Original length,20,m^3 per pred per day,272.92,4.16E-03,2.53E-03,5.72E-03,1.97E-03,1.16E-03,2.66E-03,,1
412,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large medium,2,Mean,N,0,20,,1,,5.00E+02,6.36E+00,% adult mass,3,9.21E-01,Original length,19,m^3 per pred per day,245.3,2.35E-03,1.45E-03,4.08E-03,4.33E-03,2.62E-03,6.42E-03,,1
413,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large,2,Mean,N,0,20,,1,,5.00E+02,6.36E+00,% adult mass,3,1.70E+00,Original length,18,m^3 per pred per day,231,2.26E-03,9.65E-04,8.38E-03,7.63E-03,4.10E-03,1.14E-02,,1
414,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small,2,Mean,N,0,20,,1,,5.00E+02,8.08E+00,% adult mass,4,7.64E-02,Original length,21,m^3 per pred per day,182.87,7.39E-04,2.74E-04,1.13E-02,1.02E-02,7.31E-10,3.00E-02,,1
415,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small medium,2,Mean,N,0,20,,1,,5.00E+02,8.08E+00,% adult mass,4,2.47E-01,Original length,20,m^3 per pred per day,278,3.58E-03,1.08E-03,8.87E-03,3.16E-03,1.23E-09,5.48E-03,,1
416,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large medium,2,Mean,N,0,20,,1,,5.00E+02,8.08E+00,% adult mass,4,9.21E-01,Original length,19,m^3 per pred per day,277.16,7.34E-03,2.98E-03,1.13E-02,3.20E-03,2.46E-03,4.26E-03,,1
417,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large,2,Mean,N,0,20,,1,,5.00E+02,8.08E+00,% adult mass,4,1.70E+00,Original length,18,m^3 per pred per day,272.16,3.99E-03,1.92E-03,6.86E-03,3.03E-03,1.99E-03,4.24E-03,,1
418,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small,2,Mean,N,0,20,,1,,5.00E+02,2.22E+01,% adult mass,5,7.64E-02,Original length,21,m^3 per pred per day,207.55,1.03E-03,5.82E-04,2.72E-03,2.28E-03,2.00E-10,9.59E-03,,1
419,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small medium,2,Mean,N,0,20,,1,,5.00E+02,2.22E+01,% adult mass,5,2.47E-01,Original length,20,m^3 per pred per day,291.53,2.75E-03,1.36E-03,5.10E-03,1.38E-03,3.22E-10,2.81E-03,,1
420,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large medium,2,Mean,N,0,20,,1,,5.00E+02,2.22E+01,% adult mass,5,9.21E-01,Original length,19,m^3 per pred per day,288.99,5.69E-03,3.57E-03,8.14E-03,1.55E-03,1.02E-03,2.05E-03,,1
421,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large,2,Mean,N,0,20,,1,,5.00E+02,2.22E+01,% adult mass,5,1.70E+00,Original length,18,m^3 per pred per day,303.48,4.81E-03,1.46E-03,1.17E-02,2.29E-03,1.82E-09,4.33E-03,,1
422,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small,2,Mean,N,0,20,,1,,5.00E+02,,,,7.64E-02,Original length,21,m^3 per pred per day,186.25,1.31E-03,6.10E-04,6.37E-03,9.75E-03,4.36E-03,2.03E-02,,1
423,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Small medium,2,Mean,N,0,20,,1,,5.00E+02,,,,2.47E-01,Original length,20,m^3 per pred per day,325.49,4.40E-03,1.80E-03,8.82E-03,1.17E-03,1.69E-10,2.47E-03,,1
424,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large medium,2,Mean,N,0,20,,1,,5.00E+02,,,,9.21E-01,Original length,19,m^3 per pred per day,310.17,5.48E-03,2.94E-03,8.24E-03,1.25E-03,4.29E-04,2.07E-03,,1
425,Gergs & Ratte 2009 ECO MODEL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Large,2,Mean,N,0,20,,1,,5.00E+02,,,,1.70E+00,Original length,18,m^3 per pred per day,311.9,4.34E-03,1.90E-03,8.09E-03,1.58E-03,8.66E-10,3.00E-03,,1
426,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Sympetrum vulgatum,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,16,,1,,1.00E+03,5.41E+01,% adult mass,2,8.16E-01,Average species mass,22,m^3 per pred per day,244.64,1.16E-03,6.44E-04,2.24E-03,2.22E-02,1.50E-02,2.75E-02,,1
427,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Sympetrum vulgatum,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,20,,1,,1.00E+03,5.41E+01,% adult mass,2,8.16E-01,Average species mass,22,m^3 per pred per day,293.95,8.88E-04,5.32E-04,1.34E-03,1.16E-02,5.72E-03,1.69E-02,,1
428,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Libellula quadrimaculata,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,16,,1,,1.00E+03,3.14E+01,Alternate genus length,1,8.16E-01,Average species mass,22,m^3 per pred per day,451.61,1.61E-03,1.04E-03,2.76E-03,5.42E-03,3.25E-03,8.19E-03,,1
429,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Libellula quadrimaculata,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,20,,1,,1.00E+03,3.14E+01,Alternate genus length,1,8.16E-01,Average species mass,22,m^3 per pred per day,483.91,1.48E-03,1.02E-03,2.26E-03,2.02E-03,3.95E-04,3.70E-03,,1
430,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus obscuripes,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,16,,1,,1.00E+03,1.24E+01,% adult mass,2,8.16E-01,Average species mass,22,m^3 per pred per day,473.38,5.20E-03,4.13E-03,6.49E-03,2.56E-03,2.10E-03,2.92E-03,,1
431,Sentis et al 2017 GLOBAL CHANGE BIOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus obscuripes,Larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,,2,Raw data,N,,20,,1,,1.00E+03,1.24E+01,% adult mass,2,8.16E-01,Average species mass,22,m^3 per pred per day,368.75,4.20E-03,3.22E-03,5.54E-03,1.60E-03,1.03E-03,2.16E-03,,1
432,Gergs et al 2010 BEHAV PROC,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,1st instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Wild caught,2,Mean,N,,20,,1,,5.00E+02,1.92E-01,% adult mass,2,8.16E-01,Average species mass,22,m^3 per pred per day,216.18,6.04E-04,2.24E-04,1.48E-03,1.04E-02,1.06E-09,2.18E-02,Experiments performed in the dark with IR light,1
433,Gergs et al 2010 BEHAV PROC,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,2nd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Wild caught,2,Mean,N,,20,,1,,5.00E+02,6.36E+00,% adult mass,3,8.16E-01,Average species mass,22,m^3 per pred per day,226.47,1.38E-03,9.15E-04,1.98E-03,2.47E-03,1.10E-03,3.97E-03,Experiments performed in the dark with IR light,1
434,Gergs et al 2010 BEHAV PROC,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,3rd instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Wild caught,2,Mean,N,,20,,1,,5.00E+02,8.08E+00,% adult mass,4,8.16E-01,Average species mass,22,m^3 per pred per day,257.46,1.99E-03,9.27E-04,3.66E-03,3.01E-03,4.07E-04,5.21E-03,Experiments performed in the dark with IR light,1
435,Gergs et al 2010 BEHAV PROC,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,4th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Wild caught,2,Mean,N,,20,,1,,5.00E+02,2.22E+01,% adult mass,5,8.16E-01,Average species mass,22,m^3 per pred per day,240.54,1.76E-03,1.11E-03,2.97E-03,1.77E-03,3.92E-04,2.90E-03,Experiments performed in the dark with IR light,1
436,Gergs et al 2010 BEHAV PROC,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Notonecta maculata,5th instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Wild caught,2,Mean,N,,20,,1,,5.00E+02,,,,8.16E-01,Average species mass,22,m^3 per pred per day,275.64,3.60E-03,2.07E-03,5.54E-03,2.17E-03,1.19E-03,3.35E-03,Experiments performed in the dark with IR light,1
437,Monteleone & Duguay 1988 J PLANK RES,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Ctenophore,,Mnemiopsis leidyi,,,Metazoan,Vertebrate,Fish,Clupeiformes,Bay anchovy,Anchoa mitchilli,Egg,,Raw data,N,0,22.5,,1,,1.50E+04,7.15E+01,Original length,1,8.22E-04,Original length,2,m^3 per pred per day,119.56,1.48E-02,1.29E-02,2.04E-02,8.66E-10,1.11E-10,2.89E-03,,0
438,Sandberg 1997 MARINE BIOL,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Isopod,Saduria entomon,Wild caught,,Metazoan,Invertebrate,Crustacean,Amphipod,,Bathyporeia pilosa,Wild caught,,Mean,N,48,15,,1,1.21E+02,3.63E+02,7.38E+02,Original length,5,5.07E-01,Original length,2,m^3 per pred per day,33.82,5.79E-05,3.86E-05,9.25E-05,3.37E-02,4.66E-09,7.02E-02,95% oxygen (normoxia),1
439,Sandberg 1997 MARINE BIOL,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Isopod,Saduria entomon,Wild caught,,Metazoan,Invertebrate,Crustacean,Amphipod,,Bathyporeia pilosa,Wild caught,,Mean,N,48,15,,1,1.21E+02,3.63E+02,7.38E+02,Original length,5,5.07E-01,Original length,2,m^3 per pred per day,50.29,5.55E-05,3.03E-05,1.25E-04,1.67E-02,8.18E-10,1.50E-01,45% oxygen (moderate hypoxia),1
440,Sandberg 1997 MARINE BIOL,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Isopod,Saduria entomon,Wild caught,,Metazoan,Invertebrate,Crustacean,Amphipod,,Bathyporeia pilosa,Wild caught,,Mean,N,48,15,,1,1.21E+02,3.63E+02,7.38E+02,Original length,5,5.07E-01,Original length,2,m^3 per pred per day,-35.39,4.22E-06,1.82E-06,1.75E-04,5.21E-01,4.18E-08,2.87E+00,35% oxygen (hypoxia),1
441,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus rubens,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,1.50E-04,Original mass,2,m^3 per pred per day,618.81,8.11E-05,5.47E-05,1.29E-04,3.28E-03,2.58E-03,4.29E-03,,1
442,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus rubens,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,1.50E-04,Original mass,2,m^3 per pred per day,520.02,3.59E-05,1.79E-05,5.43E-05,5.79E-03,3.92E-03,7.45E-03,Hexarthra mira present (1:1 ratio),1
443,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus patulus,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,1.50E-04,Original mass,1,m^3 per pred per day,480.97,4.91E-05,3.33E-05,6.72E-05,8.27E-03,7.12E-03,9.82E-03,,1
444,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus patulus,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,1.50E-04,Original mass,1,m^3 per pred per day,422.33,2.56E-06,6.55E-07,2.57E-05,2.29E-02,9.04E-07,6.26E-02,Hexarthra mira present (1:1 ratio),1
445,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus calyciflorus,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,512.57,7.94E-05,4.62E-05,1.24E-04,5.48E-03,4.54E-03,6.46E-03,,1
446,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Brachionidae,,Brachionus calyciflorus,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,525.68,7.30E-05,5.10E-05,9.49E-05,3.50E-03,3.05E-03,3.93E-03,Hexarthra mira present (1:1 ratio),1
447,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Flosculariaceae,,Hexarthra mira,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,457.35,1.93E-05,6.46E-06,1.05E-04,2.08E-02,1.50E-02,3.21E-02,,1
448,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Flosculariaceae,,Hexarthra mira,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,472.82,1.26E-05,2.52E-06,4.89E-05,7.87E-03,3.30E-10,1.40E-02,Brachionus rubens present (1:1 ratio),1
449,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Flosculariaceae,,Hexarthra mira,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,459.38,7.75E-06,3.76E-06,1.22E-05,9.16E-03,3.97E-03,1.62E-02,Brachionus patulus present (1:1 ratio),1
450,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Flosculariaceae,,Hexarthra mira,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,2.00E-04,Original mass,1,m^3 per pred per day,422.8,2.59E-06,6.75E-07,4.53E-05,2.13E-02,7.18E-08,6.93E-02,Brachionus calyciflorus present (1:1 ratio),1
451,Iyer & Rao 1996 FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Rotifer,Asplanchnidae,Asplanchna intermedia,"Campanulate morph, non-ovigerous",3,Metazoan,Invertebrate,Rotifer,Flosculariaceae,,Filinia longiseta,,2,Mean,N,5.5,26,,1,,4.00E+00,1.86E-01,Original length,1,1.50E-04,Original mass,1,m^3 per pred per day,521.69,8.90E-06,5.05E-06,1.46E-05,4.66E-03,2.08E-03,8.62E-03,,1
452,Wennhage 2002 J EXP MAR BIO ECOL,Predator,2.5,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Crangon crangon,Wild caught,,Metazoan,Vertebrate,Fish,Pleuronectiformes,European plaice,Pleuronectes platessa,Larva/juvenile,,Mean,N,48,14.1,,3,1.00E+04,3.70E+05,3.74E+01,Original length,4,2.57E+01,Original length,3,m^2.5 per pred per day,149.68,1.35E+00,1.00E+00,1.92E+00,1.59E-02,8.45E-03,2.46E-02,C. volutator added as alternate prey,1
453,Eggleston 1990 J ANIM ECOL,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Callinectes sapidus,"Male, intermolt",,Metazoan,Invertebrate,Mollusk,Bivalve,Eastern oyster,Crassostrea virginica,Wild caught,,Mean,N,,13.5,,1,3.30E+03,,2.28E+06,Original length,1,4.10E+00,Average species mass,6,m^2 per pred per day,49.88,9.00E-02,1.91E-02,3.54E-01,3.35E-01,1.87E-08,6.01E-01,"12h:12h L:D, prey length is shell height",1
